"";"distance";"moving_time";"start_date";"gear_id";"type"
"1";313156;4115;2021-03-03 15:08:31;"b6734226";"Ride"
"2";315482;4084;2021-03-01 15:06:21;"b6734226";"Ride"
"3";530608;6911;2021-02-28 12:13:45;"b6734226";"Ride"
"4";542308;7166;2021-02-26 08:18:43;"b6734226";"Ride"
"5";412496;5426;2021-02-24 14:20:02;"b6734226";"Ride"
"6";433972;5531;2021-02-23 13:37:52;"b6734226";"Ride"
"7";40579;2779;2021-02-22 14:37:46;NA;"Walk"
"8";285415;6343;2021-02-21 08:14:13;"b5957471";"Ride"
"9";532266;9111;2021-02-20 12:06:03;"b5957471";"Ride"
"10";289046;5391;2021-02-19 12:14:34;"b5957471";"Ride"
"11";213173;3926;2021-02-18 15:41:02;"b5957471";"Ride"
"12";24557;3324;2021-02-15 14:18:00;"b6734226";"VirtualRide"
"13";7101;2019;2021-02-15 08:53:01;NA;"IceSkate"
"14";164781;5092;2021-02-14 06:47:32;NA;"IceSkate"
"15";30239;1572;2021-02-13 09:45:14;NA;"IceSkate"
"16";111362;3677;2021-02-12 08:42:27;NA;"IceSkate"
"17";34366;1617;2021-02-11 15:08:23;NA;"IceSkate"
"18";319788;2721;2021-02-10 18:03:02;"b6734226";"VirtualRide"
"19";136725;4278;2021-02-09 14:58:21;"b5957471";"Ride"
"20";56073;4131;2021-02-08 14:42:01;NA;"Walk"
"21";267455;4020;2021-02-06 13:12:03;"b5957471";"Ride"
"22";569094;7495;2021-02-04 13:21:44;"b6734226";"Ride"
"23";30036;4149;2021-02-03 18:05:44;"b6734226";"VirtualRide"
"24";220414;3819;2021-02-02 14:26:45;"b6734226";"VirtualRide"
"25";46525;3205;2021-02-01 14:21:48;NA;"Walk"
"26";376848;6511;2021-01-31 11:41:48;"b5957471";"Ride"
"27";371161;3628;2021-01-30 12:01:00;"b6734226";"VirtualRide"
"28";304994;3614;2021-01-28 18:04:16;"b6734226";"VirtualRide"
"29";251095;3246;2021-01-27 15:30:28;"b6734226";"VirtualRide"
"30";43537;4360;2021-01-26 17:58:50;"b6734226";"VirtualRide"
"31";41207;2760;2021-01-25 14:55:51;NA;"Walk"
"32";482558;6814;2021-01-24 12:36:18;"b5957471";"Ride"
"33";77586;5275;2021-01-23 13:44:48;NA;"Walk"
"34";219705;2267;2021-01-20 16:03:47;"b6734226";"VirtualRide"
"35";86215;927;2021-01-20 15:45:09;"b6734226";"VirtualRide"
"36";319307;3133;2021-01-19 18:33:49;"b6734226";"VirtualRide"
"37";265136;3868;2021-01-18 18:01:39;"b6734226";"VirtualRide"
"38";38273;6371;2021-01-16 13:01:08;"b6734226";"VirtualRide"
"39";238382;3137;2021-01-15 12:22:03;"b6734226";"VirtualRide"
"40";255042;3179;2021-01-13 15:20:32;"b6734226";"VirtualRide"
"41";331156;5053;2021-01-12 14:11:20;"b5957471";"Ride"
"42";401255;6811;2021-01-10 12:29:04;"b5957471";"Ride"
"43";312786;5160;2021-01-09 14:08:41;"b5957471";"Ride"
"44";211486;3589;2021-01-07 14:30:49;"b5957471";"Ride"
"45";203824;2039;2021-01-06 16:04:47;"b6734226";"VirtualRide"
"46";287987;3038;2021-01-05 17:59:58;"b6734226";"VirtualRide"
"47";477774;6953;2021-01-03 11:58:46;"b5957471";"Ride"
"48";401428;5673;2021-01-01 13:21:03;"b5957471";"Ride"
"49";368874;6367;2020-12-30 13:14:28;"b5957471";"Ride"
"50";323588;3234;2020-12-29 18:16:43;"b6734226";"VirtualRide"
"51";307254;4993;2020-12-28 10:11:31;"b5957471";"Ride"
"52";357366;4862;2020-12-27 12:30:00;"b6734226";"VirtualRide"
"53";58756;3878;2020-12-26 12:29:02;NA;"Walk"
"54";603099;7664;2020-12-25 12:43:21;"b6734226";"Ride"
"55";278371;3082;2020-12-24 14:33:01;"b6734226";"VirtualRide"
"56";69061;4942;2020-12-23 13:43:07;NA;"Walk"
"57";456677;7205;2020-12-22 12:03:57;"b5957471";"Ride"
"58";222524;3026;2020-12-21 09:59:14;"b6734226";"VirtualRide"
"59";41352;2887;2020-12-20 12:51:43;NA;"Walk"
"60";637835;8551;2020-12-19 08:51:58;"b6734226";"Ride"
"61";221046;3042;2020-12-17 18:43:33;"b6734226";"VirtualRide"
"62";45677;3103;2020-12-17 14:21:10;NA;"Walk"
"63";323395;3062;2020-12-15 19:24:24;"b6734226";"VirtualRide"
"64";302729;3106;2020-12-14 19:04:32;"b6734226";"VirtualRide"
"65";451835;7236;2020-12-13 12:49:17;"b5957471";"Ride"
"66";15;3000;2020-12-11 09:30:00;NA;"IceSkate"
"67";363618;4869;2020-12-10 14:18:50;"b6734226";"Ride"
"68";226469;3084;2020-12-09 19:07:31;"b6734226";"VirtualRide"
"69";15;3000;2020-12-08 11:25:54;NA;"IceSkate"
"70";303638;4811;2020-12-06 13:48:25;"b5957471";"Ride"
"71";410134;5029;2020-12-05 12:26:10;"b6734226";"Ride"
"72";229734;4381;2020-12-04 08:45:13;"b5957471";"Ride"
"73";244508;2716;2020-12-03 13:51:52;"b6734226";"VirtualRide"
"74";2538;3150;2020-12-01 18:50:14;"b6734226";"VirtualRide"
"75";16;3000;2020-12-01 11:43:47;NA;"IceSkate"
"76";650703;10476;2020-11-28 09:11:17;"b5957471";"Ride"
"77";31827;2387;2020-11-27 14:15:15;NA;"Walk"
"78";316177;5571;2020-11-27 09:16:32;"b6734226";"VirtualRide"
"79";18;3000;2020-11-26 13:53:04;NA;"IceSkate"
"80";233093;2556;2020-11-24 15:22:30;"b6734226";"VirtualRide"
"81";258129;2791;2020-11-23 15:29:15;"b6734226";"VirtualRide"
